date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2023-03-17,3245.26,3279.92,3250.55,3240.16,3430010.25,23.66,0.73,3250.952,3265.131,3279.15,3180787.1,3126482.75,3006615.26
2023-03-16,3244.47,3257.43,3226.89,3224.72,3273896.25,-36.42,-1.12,3246.858,3272.915,3277.823,3057055.85,3127478.65,2974340.36
2023-03-15,3261.03,3273.12,3263.31,3256.86,3051688.0,18.0,0.56,3256.698,3281.291,3278.93,2930320.3,3128609.05,3001077.33
2023-03-14,3261.92,3262.0,3245.31,3216.99,3199060.25,-23.39,-0.72,3260.686,3286.195,3279.789,2840869.8,3141838.95,2983462.49
2023-03-13,3228.12,3268.7,3268.7,3228.12,2949280.75,38.62,1.2,3268.644,3289.625,3282.188,2980973.65,3073557.95,2958996.56
2023-03-10,3255.51,3262.15,3230.08,3229.5,2811354.0,-46.01,-1.4,3279.31,3288.558,3282.961,3072178.4,3021485.23,2960139.13
2023-03-09,3285.94,3289.06,3276.09,3260.0,2640218.5,-7.16,-0.22,3298.972,3292.266,3284.49,3197901.45,2974556.13,2949884.89
2023-03-08,3271.88,3283.25,3283.25,3263.69,2604435.5,-1.85,-0.06,3305.884,3293.405,3284.205,3326897.8,2972858.58,2945251.23
2023-03-07,3320.21,3342.86,3285.1,3284.41,3899579.5,-36.93,-1.11,3311.704,3294.195,3281.648,3442808.1,2967819.0,2932294.69
2023-03-06,3332.02,3333.06,3322.03,3308.73,3405304.5,-6.36,-0.19,3310.606,3296.337,3279.797,3166142.25,2902270.5,2862788.94
2023-03-03,3314.77,3330.6,3328.39,3302.62,3439969.25,17.74,0.54,3297.806,3293.168,3275.631,2970792.05,2886747.78,2826050.26
2023-03-02,3308.01,3320.74,3310.65,3306.46,3285200.25,-1.7,-0.05,3285.56,3282.731,3272.382,2751210.8,2821202.08,2800723.21
2023-03-01,3279.14,3315.16,3312.35,3272.04,3183987.0,32.74,1.0,3280.926,3276.569,3271.133,2618819.35,2873545.6,2803169.76
