date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2023-02-23,11895.46,11963.14,11884.3,11829.87,382701856.0,-15.82,-0.13,11884.584,11958.01,11987.23,414688288.0,451355164.8,448081710.4
2023-02-22,11892.14,11963.21,11900.12,11868.79,369593888.0,-68.48,-0.57,11889.204,11974.407,11988.678,458769843.2,457340140.8,445277713.6
2023-02-21,11947.65,12005.0,11968.6,11886.24,430156384.0,14.47,0.12,11922.056,11969.741,11984.205,477698483.2,463207977.6,442517144.0
2023-02-20,11717.68,11956.89,11954.13,11681.53,438487040.0,238.36,2.04,11947.324,11965.569,11975.803,481287161.6,464274544.0,437578112.0
2023-02-17,11894.88,11927.11,11715.77,11713.8,452502272.0,-191.63,-1.61,11979.22,11961.412,11967.385,486889792.0,462847830.4,435291593.6
2023-02-16,12064.04,12163.97,11907.4,11826.72,603109632.0,-156.98,-1.3,12031.436,11995.265,11961.711,488022041.6,462396848.0,429238204.8
2023-02-15,12103.72,12132.8,12064.38,12036.23,464237088.0,-30.56,-0.25,12059.61,12017.645,11939.628,455910438.4,451159420.8,416086355.2
2023-02-14,12142.83,12143.29,12094.94,12035.55,448099776.0,-18.67,-0.15,12017.426,12027.026,11908.381,448717472.0,454601382.4,410332491.2
2023-02-13,11964.75,12116.04,12113.61,11952.6,466500192.0,136.76,1.14,11983.814,12017.658,11878.973,447261926.4,454336403.2,405027923.2
2023-02-10,12031.72,12062.16,11976.85,11917.74,458163520.0,-71.42,-0.59,11943.604,12016.073,11845.8,438805868.8,456278940.8,399718587.2
2023-02-09,11821.96,12048.27,12048.27,11811.98,442551616.0,194.81,1.64,11959.094,12016.45,11815.344,436771654.4,444808256.0,397167612.8
2023-02-08,11939.86,11957.01,11853.46,11843.29,428272256.0,-73.42,-0.62,11975.68,12002.949,11779.531,446408403.2,433215286.4,395582723.2
2023-02-07,11936.36,11958.22,11926.88,11864.72,440822048.0,14.32,0.12,12036.626,11998.669,11741.627,460485292.8,421826310.4,394776313.6
2023-02-06,11957.27,11977.24,11912.56,11841.67,424219904.0,-141.74,-1.18,12051.502,11986.036,11701.139,461410880.0,410881680.0,392630193.6
2023-02-03,12086.28,12095.39,12054.3,11904.28,447992448.0,-76.9,-0.63,12088.542,11973.357,11656.311,473752012.8,407735356.8,387546224.0
2023-02-02,12187.55,12208.88,12131.2,12107.52,490735360.0,-26.99,-0.22,12073.806,11928.157,11603.416,452844857.6,396079561.6,381301334.4
2023-02-01,12034.88,12158.19,12158.19,11984.45,498656704.0,156.93,1.31,12030.218,11861.61,11547.383,420022169.6,381013289.6,374075891.2
2023-01-31,12076.14,12115.45,12001.26,11987.01,445449984.0,-96.5,-0.8,11960.712,11789.735,11494.798,383167328.0,366063600.0,366527897.6
2023-01-30,12229.38,12246.01,12097.76,12088.24,485925568.0,117.14,0.98,11920.57,11740.288,11443.685,360352480.0,355719443.2,360188606.4
2023-01-20,11942.15,11997.53,11980.62,11931.88,343456672.0,67.36,0.56,11858.172,11675.527,11381.279,341718700.8,343158233.6,351690689.6
2023-01-19,11796.4,11913.26,11913.26,11763.82,326621920.0,102.6,0.87,11782.508,11614.238,11326.063,339314265.6,349526969.6,351888283.2
2023-01-18,11813.38,11855.44,11810.66,11793.32,314382496.0,10.11,0.09,11693.002,11556.113,11276.005,342004409.6,357950160.0,351316326.4
2023-01-17,11794.96,11830.58,11800.55,11746.76,331375744.0,14.78,0.12,11618.758,11484.584,11232.928,348959872.0,367726316.8,352008112.0
2023-01-16,11612.36,11886.95,11785.77,11612.36,392756672.0,183.47,1.58,11560.006,11416.242,11199.135,351086406.4,374378707.2,355474592.0
2023-01-13,11509.21,11602.3,11602.3,11489.19,331434496.0,136.57,1.19,11492.882,11339.264,11174.598,344597766.4,367357091.2,356037256.0
2023-01-12,11470.61,11528.93,11465.73,11425.11,340072640.0,26.29,0.23,11445.968,11278.675,11162.389,359739673.6,366523107.2,359099990.4
2023-01-11,11498.97,11563.78,11439.44,11424.25,349159808.0,-67.35,-0.58,11419.224,11233.155,11155.193,373895910.4,367138492.8,362401944.0
2023-01-10,11455.6,11526.28,11506.79,11413.99,342008416.0,56.64,0.49,11350.41,11199.861,11149.406,386492761.6,366992195.2,365398563.2
2023-01-09,11411.37,11490.59,11450.15,11408.67,360313472.0,82.42,0.72,11272.478,11147.081,11144.023,397671008.0,364657769.6,369814593.6
2023-01-06,11327.03,11443.45,11367.73,11314.35,407144032.0,35.72,0.32,11185.646,11087.03,11146.594,390116416.0,360223145.6,375016216.0
2023-01-05,11136.77,11346.22,11332.01,11136.77,410853824.0,236.64,2.13,11111.382,11037.888,11147.697,373306540.8,354249596.8,376660004.8
2023-01-04,11099.15,11149.15,11095.37,11035.77,412144064.0,-21.76,-0.2,11047.086,10995.896,11152.035,360381075.2,344682492.8,378392355.2
2023-01-03,11003.05,11134.96,11117.13,10921.42,397899648.0,101.14,0.92,11049.312,10981.271,11167.207,347491628.8,336289907.2,380574972.8
2022-12-30,11046.07,11071.93,11015.99,11013.32,322540512.0,19.58,0.18,11021.684,10982.028,11177.518,331644531.2,336570476.8,385148734.4
2022-12-29,10971.27,11064.02,10996.41,10956.95,323094656.0,-14.12,-0.13,10988.414,11009.932,11187.708,330329875.2,344717420.8,390464310.4
2022-12-28,11055.06,11061.19,11010.53,10975.13,346226496.0,-95.97,-0.86,10964.394,11046.102,11201.095,335192652.8,351676873.6,399044867.2
2022-12-27,11010.93,11115.77,11106.5,11000.11,347696832.0,127.51,1.16,10944.706,11077.23,11205.994,328983910.4,357665395.2,405603555.2
2022-12-26,10858.33,10996.64,10978.99,10858.33,318664160.0,129.35,1.19,10913.23,11098.95,11205.119,325088185.6,363804931.2,411704448.0
2022-12-23,10811.57,10918.18,10849.64,10794.14,315967232.0,-26.67,-0.24,10942.372,11140.964,11197.624,341496422.4,374971417.6,414540318.4
2022-12-22,10976.57,11034.67,10876.31,10840.3,347408544.0,-35.78,-0.33,11031.45,11206.158,11200.355,359104966.4,389809286.4,417189982.4
2022-12-21,10966.31,11001.15,10912.09,10872.27,315182784.0,-37.03,-0.34,11127.81,11257.506,11204.374,368161094.4,399070412.8,418632696.0
2022-12-20,11092.86,11092.86,10949.12,10908.53,328218208.0,-175.58,-1.58,11209.754,11308.173,11207.41,386346880.0,412102217.6,423163540.8
2022-12-19,11286.66,11329.56,11124.7,11083.85,400705344.0,-170.33,-1.51,11284.67,11353.143,11210.1,402521676.8,424860038.4,428440444.8
2022-12-16,11289.52,11327.27,11295.03,11234.62,404009952.0,-63.08,-0.56,11339.556,11373.007,11210.589,408446412.8,433726992.0,429431401.6
2022-12-15,11306.79,11371.18,11358.11,11269.61,392689184.0,36.3,0.32,11380.866,11365.483,11204.859,420513606.4,436211200.0,433841985.6
2022-12-14,11341.96,11375.22,11321.81,11298.43,406111712.0,-1.89,-0.02,11387.202,11356.088,11198.026,429979731.2,446412860.8,436148662.4
2022-12-13,11398.84,11400.01,11323.7,11312.1,409092192.0,-75.43,-0.66,11406.592,11334.757,11193.713,437857555.2,453541715.2,439152446.4
2022-12-12,11453.26,11457.09,11399.13,11392.89,430329024.0,-102.45,-0.89,11421.616,11311.288,11195.095,447198400.0,459603964.8,443881400.0
2022-12-09,11397.1,11511.32,11501.58,11360.15,464345920.0,111.79,0.98,11406.458,11254.283,11180.811,459007571.2,454109219.2,448277336.0
2022-12-08,11403.19,11429.77,11389.79,11343.57,440019808.0,-28.97,-0.25,11350.1,11194.552,11162.721,451908793.6,444570678.4,454973752.0
2022-12-07,11365.98,11504.39,11418.76,11358.68,445500832.0,19.94,0.17,11324.974,11151.241,11138.659,462845990.4,438194979.2,454292497.6
2022-12-06,11278.48,11465.41,11398.82,11264.47,455796416.0,75.48,0.67,11262.922,11106.646,11120.485,469225875.2,434224864.0,451702145.6
